t,r1x,r1y,r1z,v1x,v1y,v1z,r2x,r2y,r2z,v2x,v2y,v2z,f,df,distance
0,2379.7399060915072,-4993.0286551886475,-4062.0220341334143,-3.0450237881783067,3.467092986885701,-6.051761041175316,3947.7971925745624,-5584.43302117613,-0.004451977930300247,0.7912991808036234,0.5544730148889898,7.573554613362579,4394.14947578504,-63084.382103866905,66.28838115224296
30.71215035399655,2284.8565508394568,-4883.667016307484,-4245.482321436644,-3.1332731961504647,3.6539501318972736,-5.894147189578337,3969.7718964852174,-5564.121109027347,232.55002612390112,0.6395626495290031,0.7681298219153094,7.569085154366733,4832.673297471121,-91302.94652094728,69.51743160870603
121.50633307226894,1989.26805339867,-4527.704788660354,-4758.13935092681,-3.3723811572839746,4.18045049617286,-5.38903772576125,4007.342423572129,-5465.907537880011,917.399934285403,0.18733359151182583,1.3934312154147748,7.50370978203652,6096.277121340653,-103838.77480608945,78.07865983314937
268.4144066912022,1469.6758698709298,-3856.298545519948,-5483.117421353155,-3.685620546286146,4.939691846689372,-4.459000505024071,3980.923732304569,-5188.71412497492,2002.4479300337234,-0.5461283234659897,2.3717128341677896,7.234865427114382,8007.20836077316,-98560.77830856893,89.48300598869687
465.01578345049927,716.0295178409757,-2801.5830584364576,-6222.736114822917,-3.9507085330943528,5.747156822063662,-3.035331270570059,3778.9101179646673,-4601.686681613905,3365.2341770440144,-1.5005119311418038,3.575843187997586,6.572848983697363,10225.007821146814,-76390.0240502384,101.11878075385805
702.7180397877045,-236.942486307395,-1354.5667125291384,-6720.637176384638,-4.0210476915132425,6.357344795628199,-1.1296431853507403,3294.289556407914,-3600.751472019611,4791.338171406955,-2.5528487583307995,4.796201775620168,5.355945548931042,12249.102910884045,-41128.77591417088,110.67566539616577
971.1324464789063,-1289.9892149246637,386.2820395196009,-6723.312223046383,-3.7673207045948924,6.51815766182697,1.1103517864302497,2472.8668861144833,-2172.505994331583,5994.042576444796,-3.521734024070461,5.766137140660699,3.538934927776382,13506.94618836726,1193.0700752918717,116.21938817756381
1258.5280059564755,-2289.4219100401465,2208.5114919244497,-6069.7664218984355,-3.1283865583684993,6.05488605481748,3.4001024428782887,1352.28163803748,-433.1122734957623,6688.353136556767,-4.209656463496335,6.234761175310641,1.251690237314144,13528.111306385354,43339.966355587625,116.31040927786883
1552.3441531943413,-3071.3581895427783,3839.3686240521565,-4766.842929788361,-2.1461325432883354,4.946642637340309,5.390997691556722,65.61856954301196,1389.2257128004117,6693.68615306384,-4.47034638862555,6.0589471017063765,-1.2158495055311147,12132.087632864455,78092.59088732935,110.14575630892212
1839.7397126719104,-3521.661988405911,5041.83748063363,-3001.109780707262,-0.9598927884466231,3.348630216570458,6.792329267149669,-1200.629327424997,3030.3248050270804,6009.051240068912,-4.266045673061895,5.263574324701834,-3.508231161224688,9519.263494503148,99472.18890921601,97.56671304550106
2108.1541193631124,-3618.6609952726953,5702.770709310619,-1071.172546530635,0.2432086423861552,1.53818166045027,7.4802534796291,-2275.2917652639258,4287.408204500082,4813.517819008212,-3.681345087407842,4.032680425167298,-5.333693385678538,6199.7961745870025,103767.65903977814,78.73878443681362
2345.8563757003176,-3434.5990143049403,5864.086964964182,723.6794059093597,1.296669771616276,-0.189443322069801,7.532217528714582,-3060.493769141428,5084.728605575241,3391.626288091832,-2.886183996874354,2.636031289566471,-6.559823771306605,2804.513282720452,90190.96015603084,52.95765556291604
2542.4577524596143,-3099.0321418153358,5685.96598298407,2175.1189109985116,2.1033171764766188,-1.6154286103832587,7.173291509677673,-3549.837443112577,5476.650932302773,2030.6140696206935,-2.071633632268578,1.3346272384287257,-7.229827339737913,517.6097558016454,61039.773005098876,22.75103856534126
2689.3658260785473,-2749.6719870879188,5373.106895723437,3194.798392414935,2.6421213136003114,-2.6342318075968607,6.677193364301773,-3805.0523963303353,5598.155816566702,945.8777983243009,-1.3949605733083168,0.3157124663568599,-7.504439391760468,2494.4174998404696,21324.898268120352,49.94414379925308
2780.16000879682,-2496.0239104227667,5106.655753950704,3783.495597605536,2.9403528604234554,-3.2300338551669303,6.27933798565193,-3911.898074621549,5597.94734311905,260.8067923797792,-0.956575921044578,-0.32031572649443174,-7.573181722275921,3828.237648435116,-22085.99163607406,61.87275368395297
