t,r1x,r1y,r1z,v1x,v1y,v1z,r2x,r2y,r2z,v2x,v2y,v2z,f,df,distance
0,2379.7399060915072,-4993.0286551886475,-4062.0220341334143,-3.0450237881783067,3.467092986885701,-6.051761041175316,3947.7971925745624,-5584.43302117613,-0.004451977930300247,0.7912991808036234,0.5544730148889898,7.573554613362579,19308549.615541942,-63084.382103866905,4394.14947578504
187.3914772767211,1761.96564744684,-4240.433313605408,-5100.142472008156,-3.5245054901883806,4.536025938750469,-4.988123968584781,4008.829215686518,-5359.392068602042,1408.8459952096698,-0.14221956987485887,1.8384705733539193,7.407804941474241,48667395.456041016,-91302.94652094728,6976.202079644841
374.7829545534422,1068.3416205444173,-3305.3024634157923,-5918.122960026207,-3.85172291580033,5.408385904101463,-3.710734022569245,3894.9295176696423,-4900.483922874321,2756.053086158122,-1.0688464257061456,3.041330763473455,6.918154166379311,85775533.10897306,-103838.77480608945,9261.508144410016
562.1744318301633,328.77765723801093,-2228.048884409942,-6480.934209740694,-4.013107307169662,6.04754040650237,-2.2744842095835605,3611.2217297113825,-4227.925977167327,3982.77611294261,-1.9479221131356694,4.110402433488778,6.126731309690192,124263181.19208044,-98560.77830856893,11147.33964639458
749.5659091068844,-424.91667906411413,-1055.04628148953,-6764.45346291634,-4.0020015741589905,6.426684926266068,-0.740490476646348,3170.2551305560364,-3371.2504726213147,5035.584587622481,-2.741151588418076,4.999285904233544,5.068889445222915,157530960.18986785,-76390.0240502384,12551.133820889165
936.9573863836056,-1160.3450140927441,163.29889783770392,-6756.408643177577,-3.8188114631137444,6.529706097475762,0.8262889501552138,2591.4005088649064,-2367.941493020209,5868.770698390499,-3.4142817586946945,5.669799412342431,3.791352008680104,179877925.7921006,-41128.77591417088,13411.857656271954
1124.3488636603265,-1845.8468863266862,1374.607278297056,-6456.874220557934,-3.4709631467780597,6.351728943426384,2.35945172532019,1899.9578648023205,-1261.7498300909956,6446.2721223690805,-3.9384907052612745,6.093445632655028,2.3499400787411338,187472617.58351967,1193.0700752918717,13692.064036642527
1311.7403409370477,-2451.7960870518073,2526.6625471668435,-5878.314452267216,-2.9726867974657614,5.899384903949013,3.7935832296704244,1126.0331600809552,-100.77980135699424,6743.145103374071,-4.291462711107222,6.2523840507661355,0.8070723394018643,179005556.73114383,43339.966355587625,13379.295823440927
1499.1318182137688,-2951.8410014230158,3569.5704119783213,-5045.164776805686,-2.344611752606279,5.19078542220285,5.0667543590794475,303.24175829564183,1064.564208111832,6746.5592396176935,-4.4581672643654136,6.139965643151585,-0.7708220921126901,155915375.1335232,78092.59088732935,12486.607831333664
1686.52329549049,-3324.0480093365704,4457.879502436351,-3992.9384612549097,-1.613131256604761,4.255132273052085,6.123086951524012,-532.7093857576052,2183.695922085097,6456.305142981858,-4.431379393008017,5.76089791660649,-2.315908240152984,122150174.16930597,99472.18890921601,11052.156991705555
